data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1882408,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Unidentified Armed Group (Afghanistan),0,3,13,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Ghazni,33.5508,68.4225,3,Saudi Press Agency,International,"On 17-September-2018, it was reported that 41 unidentified armed militants were killed or injured by Afghan Military Forces in Paktika and Ghazni provinces.",0
CON1882410,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Faryab,Kohistan,0,Qala,35.3821,64.7566,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 18, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Pashtun Kot and Kohistan districts, Faryab province. 5 militants were killed (coded across 2 events) and 4 were injured.",2
CON1882411,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Ghazni,Muqur,0,Muqur,32.8201,67.7693,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 18, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Muqur district, Ghazni province. 2 militants were killed and 1 was injured.",2
CON1882415,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Faryab,Pashtun Kot,0,Pashtun Kot,35.9202,64.7809,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 18, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Pashtun Kot and Kohistan districts, Faryab province. 5 militants were killed (coded across 2 events) and 4 were injured.",3
CON1882418,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Khost,Sabari,0,Yakubi,33.4582,69.995,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 18, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Sabari district, Khost province. 1 militant was killed and 1 was injured.",1
CON1882419,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Kandahar,Shah Wali Kot,0,Shah Wali Kot,32.0849,66.0004,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 18, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Shah Wali Kot district, Kandahar province. 6 militants were killed, 5 were injured and 2 motorcycles were destroyed.",6
CON1882421,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-) Special Forces,0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Kunar,Wata Pur,0,Wata Pur,34.9109,71.1274,2,Xinhua General News Service,International,"As reported on 17-September-2018, 4 Islamic State militants were killed and 4 others arrested by Afghan Special Forces in the Gundeel locality of Wata Pur district, Kunar province.",4
CON1882423,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Wardak,Chaki Wardak,0,Chaki Wardak,34.1061,68.5794,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 19, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Chaki Wardak district, Wardak province. 6 militants were killed and some weapons were destroyed.",6
CON1882424,2018 September,2,Battle-No change of territory,Taliban,Police Forces of Afghanistan (2004-) Afghan Local Police,Police Forces of Afghanistan (2004-) Afghan Local Police,0,1,12,Southern Asia,Afghanistan,Balkh,Charbolak,0,Charbolak,36.7598,66.7227,2,Associated Press International,International,"On 18-September-2018, 9 Afghan Local Police were killed, 1 wounded, and 3 missing in an insider attack by another policeman at a checkpoint in Charbolak district, Balkh province. It is believed that the attacker joined the Taliban and seized weapons in the attack.",9
CON1882426,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-) Special Forces,0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Dih Bala,0,Dih Bala,34.0923,70.469,2,Bakhtar News Agency,National,"On 18-September-2018, 23 Islamic State militants were killed in operations conducted by Afghan Special Forces in the Khogyani, Kot, Nazyan, and Dih Bala districts of Nangarhar province. Several hideouts and weapons were destroyed and 5 rounds of different mines were confiscated in the operations. Fatalities are distributed across 4 events.",5
